Taxon,Latitude,Longitude
Orthaea_bullata,-10.54583,-75.3625
Orthaea_bullata,-10.54778,-75.35528
Orthaea_bullata,-10.533,-75.35
Orthaea_bullata,-10.533,-75.35
Orthaea_bullata,-10.533,-75.35
Orthaea_bullata,-10.533,-75.35
Orthaea_bullata,-10.533,-75.35
Orthaea_bullata,-10.533,-75.35
Orthaea_bullata,-10.67666667,-75.31527778
Orthaea_bullata,-10.617,-75.283
Orthaea_bullata,-10.617,-75.283
Orthaea_bullata,-10.25,-75.25
Orthaea_bullata,-13.05,-72.933
Orthaea_bullata,-12.9569,-72.8341
Orthaea_bullata,-12.91278,-72.82472
Orthaea_bullata,-10.54,-72.35417
Orthaea_bullata,-12.6475,-72.25361111
Orthaea_cusquena,-13.1241,-72.9819
Orthaea_cusquena,-13.067,-72.367
Orthaea_cusquena,-13.108,-72.35
Orthaea_cusquena,-13.108,-72.35
Orthaea_cusquena,-13.217,-71.617
Orthaea_cusquena,-13.76333,-70.21861
Orthaea_ecuadorensis,-1.434829,-78.092061
Orthaea_fissiflora,-16.167,-68.167
Orthaea_fissiflora,-16.14861111,-68.12166667
Orthaea_fissiflora,-16.317,-68.117
Orthaea_fissiflora,-16.133,-68.117
Orthaea_fissiflora,-16.133,-68.117
Orthaea_fissiflora,-16.117,-68.083
Orthaea_fissiflora,-16.308,-67.908
Orthaea_fissiflora,-16.30944,-67.904
Orthaea_fissiflora,-16.333,-67.9
Orthaea_fissiflora,-16.3,-67.883
Orthaea_fissiflora,-16.283,-67.883
Orthaea_fissiflora,-16.283,-67.883
Orthaea_fissiflora,-16.28686,-67.85056
Orthaea_fissiflora,-16.28686,-67.85056
Orthaea_fissiflora,-16.28686,-67.85056
Orthaea_fissiflora,-16.3,-67.85
Orthaea_fissiflora,-16.283,-67.85
Orthaea_fissiflora,-16.283,-67.85
Orthaea_fissiflora,-16.283,-67.833
Orthaea_fissiflora,-16.283,-67.833
Orthaea_fissiflora,-16.283,-67.783
Orthaea_fissiflora,-16.733,-67.333
Orthaea_fissiflora,-16.8,-67.283
Orthaea_glandulifera,6.667,-76.4
Orthaea_glandulifera,6.75,-76.333
Orthaea_glandulifera,6.75,-76.333
Orthaea_glandulifera,6.75,-76.333
Orthaea_glandulifera,6.75,-76.333
Orthaea_glandulifera,6.265278,-76.23861
Orthaea_glandulifera,6.152502,-76.050854
Orthaea_glandulifera,7.017,-75.5
Orthaea_glandulifera,7.017,-75.5
Orthaea_glandulifera,7.068398,-75.450075
Orthaea_medusula,4.78209,-76.49982
Orthaea_medusula,4.739611,-76.30653
Orthaea_medusula,4.739264,-76.30047
Orthaea_oedipus,4.599047,-77.08092
Orthaea_oedipus,4.583,-77.067
Orthaea_oedipus,5.75,-76.41667
